PathRow S2TileID S2ULX S2ULY PercentOfS2
001063 19MGQ 699960 9500020 15.5
001063 19MGR 699960 9600040 14.2
001063 19MGS 699960 9700000 0.6
001063 19MHQ 799980 9500020 62.0
001063 19MHR 799980 9600040 99.3
001063 19MHS 799980 9700000 21.8
001063 20MKA 199980 9600040 100.0
001063 20MKB 199980 9700000 15.4
001063 20MKV 199980 9500020 66.2
001063 20MLA 300000 9600040 20.1
001063 20MLB 300000 9700000 2.2
001063 20MLV 300000 9500020 3.4
001064 19MGN 699960 9300040 12.4
001064 19MGP 699960 9400000 54.1
001064 19MGQ 699960 9500020 24.4
001064 19MHN 799980 9300040 30.3
001064 19MHP 799980 9400000 100.0
001064 19MHQ 799980 9500020 55.6
001064 20MKT 199980 9300040 21.5
001064 20MKU 199980 9400000 73.6
001064 20MKV 199980 9500020 41.9
001065 19LHL 799980 9100000 0.4
001065 19MFM 600000 9200020 1.3
001065 19MGM 699960 9200020 69.5
001065 19MGN 699960 9300040 72.9
001065 19MGP 699960 9400000 4.6
001065 19MHM 799980 9200020 82.5
001065 19MHN 799980 9300040 87.3
001065 19MHP 799980 9400000 0.5
001065 20LKR 199980 9100000 0.3
001065 20MKS 199980 9200020 33.6
001065 20MKT 199980 9300040 43.4
001066 19LFK 600000 9000040 12.6
001066 19LFL 600000 9100000 23.5
001066 19LGK 699960 9000040 44.0
001066 19LGL 699960 9100000 100.0
001066 19LHK 799980 9000040 31.0
001066 19LHL 799980 9100000 72.3
001066 19MFM 600000 9200020 4.4
001066 19MGM 699960 9200020 41.2
001066 19MHM 799980 9200020 24.5
001066 20LKQ 199980 9000040 1.8
001066 20LKR 199980 9100000 17.0
001066 20MKS 199980 9200020 7.1
001067 19LFH 600000 8800000 1.1
001067 19LFJ 600000 8900020 57.6
001067 19LFK 600000 9000040 37.7
001067 19LGH 699960 8800000 12.2
001067 19LGJ 699960 8900020 99.4
001067 19LGK 699960 9000040 73.6
001067 19LHH 799980 8800000 4.1
001067 19LHJ 799980 8900020 31.8
001067 19LHK 799980 9000040 30.2
001068 19LEG 499980 8700040 3.9
001068 19LEH 499980 8800000 0.4
001068 19LFG 600000 8700040 56.5
001068 19LFH 600000 8800000 84.2
001068 19LFJ 600000 8900020 18.6
